priority,lecture,lecture_title,question_number,question_text,options,answer,total_questions_in_lecture
1,4.pdf,DATABASE MANAGEMENT SYSTEMS (IT2040) LECTURE 04 - SQL,7,What is the result of: SELECT DISTINCT progId FROM student; compared to: SELECT progId FROM student;,A. Same result always | B. DISTINCT removes duplicate program IDs | C. DISTINCT sorts the results | D. DISTINCT shows only NULL values,B,102
1,4.pdf,DATABASE MANAGEMENT SYSTEMS (IT2040) LECTURE 04 - SQL,11,Which is correct about INNER JOIN vs LEFT OUTER JOIN?,A. INNER JOIN returns more rows | B. LEFT OUTER JOIN returns all rows from left table | C. They always produce same result | D. INNER JOIN includes NULL values,B,102
1,4.pdf,DATABASE MANAGEMENT SYSTEMS (IT2040) LECTURE 04 - SQL,30,Which require GROUP BY clause? (Select all that apply),"A. Using HAVING clause | B. Computing aggregate per group | C. Using aggregate functions | D. Combining aggregates with non-aggregated columns in SELECT E) Using ORDER BY Answers: A, B, D",,102
1,4.pdf,DATABASE MANAGEMENT SYSTEMS (IT2040) LECTURE 04 - SQL,31,"Scenario: Database has Student(sid, name, major, gpa) and Enrollment(sid, courseId, grade)",A. SELECT sid FROM Enrollment GROUP BY sid HAVING COUNT(*) = 10; | B. SELECT sid FROM Enrollment GROUP BY sid HAVING COUNT(DISTINCT courseId) = 10; | C. SELECT sid FROM Student WHERE sid IN (SELECT sid FROM Enrollment); | D. SELECT DISTINCT sid FROM Enrollment;,B,102
1,4.pdf,DATABASE MANAGEMENT SYSTEMS (IT2040) LECTURE 04 - SQL,61,"Consider the following tables: Patient(pid, pname, age) Admission(pid, admissionDate)",A. Query 2 and Query 4 return identical row sets but Query 1 and Query 2 return different row sets | B. All queries return identical row sets | C. Query 3 returns strictly fewer rows than Query 2 | D. Query 4 will encounter an integrity violation at runtime,A,102
1,4.pdf,DATABASE MANAGEMENT SYSTEMS (IT2040) LECTURE 04 - SQL,74,Which of the following queries will result in an error? (Select one or more),"A. SELECT dept_id, AVG(salary) FROM employees GROUP BY dept_id; | B. SELECT dept_id, COUNT(name) FROM employees; | C. SELECT AVG(salary) FROM employees GROUP BY dept_id; | D. SELECT dept_id, job_id, AVG(salary) FROM employees GROUP BY dept_id, job_id;",B,102
1,4.pdf,DATABASE MANAGEMENT SYSTEMS (IT2040) LECTURE 04 - SQL,88,Which of the following queries will result in an error? (Select one or more),"A. SELECT dept_id, COUNT(name) FROM employees; | B. SELECT eid FROM employees WHERE salary > AVG(salary); | C. SELECT dept_id, AVG(salary) FROM employees GROUP BY dept_id; | D. SELECT dept_id",A,102
2,2.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 02- ER AND EER TO RELATIONAL MODEL MAPPING,11,"You are mapping an aggregation: Players play Matches, and this play relationship wins Awards","A. awardName only | B. (playerId, matchId) only | C. (awardName, playerId, matchId) - composite of all three | D. (playerId, matchId, awardDate)",C,93
2,2.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 02- ER AND EER TO RELATIONAL MODEL MAPPING,34,"Scenario: Employee entity has empID, name, salary, supervisor_ID (an employee's supervisor is also an employee - recursive relationship)","A. Employee(empID, name, salary), Supervises(empID, supervisor_ID) | B. Employee(empID, name, salary, supervisor_ID*) | C. Employee(empID, name, salary), Supervisor(supervisor_ID, empID*) | D. Cannot be mapped in relational model",B,93
2,2.pdf,DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 02- ER AND EER TO RELATIONAL MODEL MAPPING,36,"Which of the following is true related to ISA relationships? (Select one or more) , B, D","A. The hierarchy in which each entity participates in only one subclass relationship is classified as disjoint | B. A subtype of an ISA hierarchy can have its own key | C. A shape object with circle, rectangle, and triangle as subtypes is an example of total participation | D. If subtypes are overlapping, the participation constraint must be partial",A,93
