question,label
Create a system for optimizing the design of heat exchangers in HVAC systems for improved energy efficiency and indoor comfort.,hard
Find the maximum flow in the given network.,easy
What is File?,easy
"Scenario: In a Hospital patient management system, the IT team is responsible for ensuring data integrity and disaster recovery measures are in place. 

Enhanced question: ""In the context of a Hospital patient management system, explain the significance of a `BCP command' in ensuring the continuity of operations and safeguarding patient data in the event of a system failure or natural disaster.",easy
Write a difference between procedural and object oriented programming.,easy
"Question:
Consider a scenario where a university maintains a database to manage student information. 

a) Define the concept of normalization in the context of relational databases. Provide examples to illustrate different normalization forms.
b) Explain the process of denormalization and discuss when denormalization might be preferred over normalization in a database design.
c) Compare and contrast the advantages and disadvantages of normalization and denormalization in the context of database management systems.",medium
"Scenario: In a Hospital patient management system, the database is used to store patient information, medical records, and appointments. 

Enhanced question: ""In the context of a Hospital patient management system, consider the following code segment: Preparedstatement stmt=con.preparestatement(""delete from patients where patient_id=?""); stmt.setInt(1, 123); int i=stmt.executeUpdate(); System.out.println(i+"" patient records deleted""); Which type of statements is being used in this code segment and when would this type of statement be utilized in managing patient data within the hospital database?",medium
"Define and explain the concept of Aggregation in the context of an Enhanced Entity-Relationship (EER) model. Provide a real-world scenario to illustrate this concept and give examples.

a) Define Aggregation in an EER model and explain its significance.
b) Describe a scenario from a university database where Aggregation could be applied.
c) Provide examples to demonstrate the difference between Aggregation and ternary relationships in a database context.",medium
Create a new product. Give it a name and plan a marketing campaign.,hard
"In the context of a hotel booking system, consider the following question:

a) Calculate the total amount spent by guests with the last name 'Smith' on their bookings.",medium
Assess the value of feminist theories in gender studies.,hard
Differentiate between electroosmosis and electrophoretic mobility of solutes in capillary electroosmosis. ,medium
"Consider the following scenario in a university database:

a) Define and explain the storage of information for the following types of individuals in a database system:
i) A person who is neither a student nor a faculty member (partial ISA relationship)
ii) A person who is a student but not a faculty member (disjoint ISA relationship)
iii) A person who is both a student and a faculty member (overlapping classes in ISA relationship)

Provide examples to illustrate each scenario.",medium
Write in brief on types of Groundwater.,easy
"An aerospace engineering company is assessing the aerodynamic performance of aircraft wing designs for fuel efficiency and flight stability. Evaluate the lift-to-drag ratios, wing aspect ratios, and airfoil shapes of different wing configurations. Propose aerodynamic optimization techniques and computational fluid dynamics (CFD) simulations to improve aircraft performance and reduce fuel consumption.",hard
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,medium
