question,label
About what proportion of the population of the US is living on farms?,easy
Define compound interest.,easy
Define four types of traceability,easy
Define mercantilism.,easy
"Define stream bank, floodplain and substrate.",easy
Define the meaning of the Olympic Motto.,easy
How many instructions in the instruction set of RISC computer?,easy
How many kilometers from your home to the university,easy
How many loop statement available in c++?,easy
How many states are there in USA,easy
How many years does this animal live?,easy
How much data can be stored in the cach memory,easy
How much did he pay for his car,easy
How much is your weight,easy
How much time did he took to build a house,easy
How much water does an elephant drink,easy
Identify a phrase as a simile,easy
"Identify a property (commutative, additive, etc(",easy
Identify fractions from a pictorial representation,easy
Identify ordinal positions,easy
Identify the correct definition of osmosis,easy
Identify the five major prophets of the Old Testament.,easy
Identify the part of a eukaryotic cell.,easy
Identify the standard peripheral components of a computer.,easy
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),easy
in which countries is arabic language spoken,easy
in which continent does the state of suriname fall,easy
In Which part of the world does he live,easy
Label any Olympic sporting apparatus with design features.,easy
Label the parts of the following insects: Grasshopper,easy
Label the parts of the microscope shown on the right,easy
List four types of clauses mentioned in the article,easy
List reserved words in C programming.,easy
List the characteristics peculiar to the Cubist movement.,easy
List the levels in Bloom's Taxonomy.,easy
List the steps involved in titration.,easy
List three characteristics that are unique to the Cubist movement.,easy
List three predominant economic systems that exist,easy
Look at the symbol. What is the symbols purpose on a map?,easy
Make a list of facts you learned from the story.,easy
Name 5 steps that follow the taking of notes (within 24 hours or less)?,easy
Name the artist who painted the Mona Lisa.,easy
Name the food groups and at least two items of food in each group.,easy
Name the four major food groups.,easy
Name the main characters in the story.,easy
Name the property that states that,easy
Recall basic math facts,easy
Recall locations of a historical events,easy
Recall the definition of the formula datatype from your assignment 2.,easy
Recall the equation for the Ideal Gas Law.,easy
Recall the following pictoral example of an implementation of some queue operations,easy
recall the supply voltage constraints,easy
Recite a policy of immigration in Europe .,easy
"Recite the poem ""Auto Wreck"".",easy
Recite the principles of the Data Protection Act.,easy
Recite the the Gaussian law,easy
State four attributes of well engineered software.,easy
State how to find a word in a dictionary,easy
State the characteristics of each type of corrosion testing studied,easy
State the definition of application in Bloom's Taxonomy.,easy
State the formula for the area of a circle,easy
State the guidelines to design an anodic protection system,easy
State the pattern for expressing time in French.,easy
Compare Calliope with Howie. Use the word bank.,easy
Compare historical events to contemporary situations,easy
Complete an analogy (analogy tasks are inference tasks),easy
Describe 4 types of coupling in software design.,easy
Describe how Phillip and Timothy survived on the Cay.,easy
Describe in prose what is shown in graph form.,easy
Describe in your own words how to borrow a book from the library.,easy
Describe in your own words how to copy text from one program into another.,easy
