chunk_id,pdf_stem,slide_no,start_word,end_word,n_words,text_snippet
1__sc0000,1,1,0,350,350,"--- SLIDE 1 --- DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 01- INTRODUCTION TO DBMS AND DATABASE DESIGN PROCESS --- SLIDE 2 --- LECTURE CONTENT Introduction to databases, DBMS and their benefits ..."
1__sc0001,1,8,280,630,350,stored Efficient data access – make the data retrieval efficient using sophisticated techniques to store and access data Enforcing integrity – provide capabilities to define and enforce constraints ...
1__sc0002,1,13,560,910,350,"- ENTITIES & ATTRIBUTES You already know these ! Check the handout for the definitions and examples for entities, different types of attributes and keys. Select an important entity in a context you..."
1__sc0003,1,16,840,1190,350,"the ternary relationship plus one or more of the binary relationships, if they represent different meanings and if all are needed --- SLIDE 16 --- ACTIVITY Draw an ER diagram for the scenario below. ..."
1__sc0004,1,19,1120,1470,350,EER diagrams using ‘ISA’ relationships --- SLIDE 19 --- EER MODEL - ISA RELATIONSHIPS (CONTD.) [FIGURE: slide_019_fig_1.png] Thus attributes of the permanent employee include all attributes of employ...
1__sc0005,1,25,1400,1750,350,and another which is having a overlapping constraint. Exchange what you have drawn with your peer. What have they drawn? Have you understood the concepts properly? --- SLIDE 25 --- EER MODEL - AGGRE...
1__sc0006,1,29,1680,1899,219,"look at are: Fan traps Chasm traps --- SLIDE 29 --- FAN TRAP A fan trap is when a model represents a relationship between entity types, but the pathway between certain entity instances is ambiguous..."
2__sc0000,2,1,0,350,350,--- SLIDE 1 --- DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 02- ER AND EER TO RELATIONAL MODEL MAPPING --- SLIDE 2 --- LECTURE CONTENT Logical database design Relational model and its components ...
2__sc0001,2,8,280,630,350,(IC) is a condition specified on a database schema and restricts the data that could be stored in an instance of the database. If a database instance satisfies all the integrity constraints specified...
2__sc0002,2,10,560,910,350,the foreign key to the primary key --- SLIDE 10 --- INTEGRITY CONSTRAINTS (CONTD.) Other constraints Table Constraints (constraints within tables) Example : Balance of the account should be greater...
2__sc0003,2,19,840,1190,350,parial) [FIGURE: slide_018_fig_1.png] A person who is a student but not a faculty member (i.e disjoint) A person who is both a student and a faculty member (i.e: overlapping classes) --- SLIDE 19 --...
2__sc0004,2,25,1120,1364,244,OPTION 4 (CONTD.) [FIGURE: slide_024_fig_1.png] Now think how you would store information of following people A person who is not a student or a faculty member(i.e when the ISA relationship is paria...
2024__sc0000,2024,1,0,350,350,"--- SLIDE 1 --- Sri Lanka Institute of Information Technology B.Sc. Honours Degree in Information Technology Final Examination Year 2, Semester 1 (2024) 1T2040 — Database Management Systems Duration: ..."
2024__sc0001,2024,4,280,630,350,"Question 3 (25 marks) a) “In Type 2 Driver, JDBC API calls are converted to native Java API calls”. Accept or refute the above statement justifying your answer. (2 marks) b) There are several differen..."
2024__sc0002,2024,5,560,910,350,login to Sarah with windows authentication. (2 marks) Provide Sarah with the necessary permissions to handle all administrative tasks within the server using a fixed server role. (3 marks) Assuming Em...
2024__sc0003,2024,,840,1065,225,"late returns or other penalties. It includes a fine ID, member ID, fine amount, and payment status. The 'Librarian’ table contains details about library staff, with each librarian having a unique ID, ..."
3__sc0000,3,1,0,350,350,--- SLIDE 1 --- DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 03- SCHEMA REFINEMENT --- SLIDE 2 --- LECTURE CONTENT Why schema refinement? Properties of good decomposition Functional dependencies ...
3__sc0001,3,7,280,630,350,null Deletion Anomaly Deleting the last employee from the department will lead to loosing information about the department Update Anomaly Updating the department’s location needs to be done for al...
3__sc0002,3,11,560,910,350,"process for analyzing a relational schema with the aim of minimizing redundancies and minimizing insertion, deletion and update anomalies. The process performs a series of tests called normal form te..."
3__sc0003,3,15,840,1190,350,"key play the role of X and the set of all attributes play the role of Y. Normalization process analyzes schemas based on keys and on the functional dependencies among their attributes. Thus, to star..."
3__sc0004,3,18,1120,1470,350,"the following set of functional dependencies over R: {A →B, A →C, CD →E, B →D, E →A} Compute the keys for relation R. --- SLIDE 18 --- REVISIT TO SOME DEFINITIONS Superkey: Set of attributes S in r..."
3__sc0005,3,22,1400,1725,325,R. Second normal form (2NF) is based on the concept of full functional dependency.  A functional dependency X →Y is a full functional dependency if removal of any attribute A from X means that the d...
3__sc0006,3,27,1680,1725,45,"relation in? If R is not in BCNF, convert it to BCNF. --- SLIDE 27 --- ACTIVITY [FIGURE: slide_027_fig_1.png] --- SLIDE 28 --- WHAT YOU HAVE TO DO BY NEXT WEEK Try out the self-test questions on the..."
4__sc0000,4,1,0,350,350,--- SLIDE 1 --- DATABASE MANAGEMENT SYSTEMS (IT2040) LECTURE 04 - SQL --- SLIDE 2 --- LECTURE CONTENT Introduction to SQL Data definition language Data manipulation language --- SLIDE 3 --- LECTURE...
4__sc0001,4,9,280,630,350,"--- CREATING A TABLE - EXAMPLE CREATE TABLE STUDENT ( studentId INTEGER PRIMARY KEY, sName VARCHAR (30) NOT NULL, nic CHAR(10) UNIQUE, gpa FLOAT, progId VARCHAR(10) DEFAULT ‘IT’, CONSTRAINT student_pr..."
4__sc0002,4,14,560,910,350,"operator DISTINCT operators BETWEEN operator ORDER BY clause Joins (inner & outer) Nested query (IN/SOME/ANY, ALL), [NOT] EXISTS Aggregate functions GROUP BY – HAVING clauses --- SLIDE 14 --- L..."
4__sc0003,4,18,840,1190,350,IT 1002 Aruni 3.8 SE 1003 Surani 2.5 IT 1004 Imali 4.0 BM Select studentID From student StudentID Where gpa between 3.7 and 4.00 1002 1004 --- SLIDE 18 --- ORDER BY CLAUSE Student Used to order resul...
4__sc0004,4,21,1120,1470,350,"2.5 IT Ex : For all the students display the name and the offering institute Name offerBy Select s.Name, p.offerBy Amal Curtin From student s LEFT OUTER JOIN program p Nimali SLIIT on s.pid=p.progId ..."
4__sc0005,4,24,1400,1750,350,IT100 B 1001 Nimali 2.8 1001 IT102 A 1002 Aruni 3.8 Select s.Name 1002 IT102 C 1002 IT200 C From Student s Name Where EXISTS ( Select * Amal from grades g Nimali Where g.SID=s.SID and g.Grade=‘A’) ---...
4__sc0006,4,28,1680,2030,350,"a number of rows, returning a single value. Some of the commonly used aggregate functions are SUM, COUNT, AVG, MIN and MAX --- SLIDE 28 --- AGGREGATION (CONTD.) Student Ex : Find the average, minimu..."
4__sc0007,4,32,1960,2042,82,"A 1002 DBII C 1002 DBII C [FIGURE: slide_031_fig_1.png] 1002 SPD C 1002 SPD C Select CID, Count(SID) From course CID Count (SID) Group by CID DBII 3 Having count(SID)>2 --- SLIDE 32 --- SQL: REVIEW (C..."
5__sc0000,5,1,0,350,350,--- SLIDE 1 --- DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 05 – DATABASE PROGRAMMING --- SLIDE 2 --- LECTURE CONTENT Views SQL extensions (specifically T-SQL) Functions & Procedures Triggers --...
5__sc0001,5,9,280,630,350,tot_pct= 90 WHERE eid = 1000 **This is not possible --- SLIDE 9 --- UPDATING VIEWS (CONTD.) Views containing a join can be ambiguous A B C B C A B 1 d b 1 b 1 d 1 e b 1 e UPDATE V1 SET A = a WHERE C ...
5__sc0002,5,13,560,910,350,many times the loop is performed To hold a data value to be tested by a control-of-flow statement To save a data value to be returned by a stored procedure return code. --- SLIDE 13 --- T-SQL: VARIA...
5__sc0003,5,19,840,1190,350,"@count<=100 BEGIN INSERT INTO Employees VALUES(@count,CONCAT('Employee',@count)) SET @count=@count+1 END --- SLIDE 19 --- STORED FUNCTIONS/PROCEDURES Business logic is maintained in database tier for..."
5__sc0004,5,27,1120,1470,350,"(CONTD.) Ex 2: create a procedure that outputs statistics of salary (min, max) for a given department. create procedure get_stats(@did varchar(12),@maxm real output,@minm real output) as begin select..."
5__sc0005,5,33,1400,1750,350,"Specifies that the trigger is executed instead of the triggering SQL statement, thus overriding the actions of the triggering statements. Specifies At most, one INSTEAD OF trigger per INSERT, UPDATE..."
5__sc0006,5,38,1680,1823,143,"Declare @balance float Select @ano=accountNo,@balance=balance from inserted Insert into accountAudit(@ano,@balance,getdate()) end --- SLIDE 38 --- T-SQL: TRIGGERS (CONTD.) Example 2: Consider follow..."
6__sc0000,6,1,0,350,350,--- SLIDE 1 --- DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 06 – JAVA DATABASE CONNECTIVITY --- SLIDE 2 --- LECTURE CONTENT JDBC --- SLIDE 3 --- LEARNING OUTCOMES At the end of this lecture studen...
6__sc0001,6,9,280,630,350,--- JDBC-ODBC BRIDGE DRIVER The JDBC-ODBC bridge driver uses ODBC driver installed in a client machine to connect to the database. [FIGURE: slide_008_fig_1.png] --- SLIDE 9 --- NATIVE API DRIVER In ...
6__sc0002,6,14,560,910,350,STEP 1 : IMPORT THE PACKAGES In this step the packages containing the JDBC classes needed for database programming are imported. ▪The Java.sql package contains the entire JDBC API that sends SQL stat...
6__sc0003,6,17,840,1190,350,Recommended use Statement Useful when static SQL statements are used at runtime. The Statement interface cannot accept parameters. PreparedStatement Suitable when SQL statements are used many times. T...
6__sc0004,6,19,1120,1470,350,"execute(), (b) executeQuery(), and (c) executeUpdate() also work with the PreparedStatement object.  Ex: String sql = ""UPDATE Employees set age=? WHERE id=?""; PreparedStatement pstmt = conn.prepareSt..."
6__sc0005,6,22,1400,1504,104,"handling but for JDBC, the most common exception you'll deal with is java.sql.SQLException. When an exception occurs, an object of type SQLException will be passed to the catch clause. The passed SQ..."
7__sc0000,7,1,0,350,350,--- SLIDE 1 --- DATABASE MANAGEMENT SYSTEMS (IT 2040) LECTURE 07 – DATABASE UTILITIES --- SLIDE 2 --- LECTURE CONTENT Transferring data between different sources Backup and restore of data Jobs and...
7__sc0001,7,8,280,630,350,database name and select export data sub menu from the task menu. [FIGURE: slide_007_fig_1.png] Click Next in the welcome screen which appears. --- SLIDE 8 --- STEP 2 – EXPORTING DATA FROM AN EXCEL F...
7__sc0002,7,13,560,910,350,command line utility that enables us to transfer large number of records between a SQL instance and a data file using a special file format. This tool is installed by default with SQL Server. With B...
7__sc0003,7,17,840,1190,350,--- SELECT INTO COMMAND SELECT INTO statement copies data from one table to another Tables can be on the same SQL Server or linked SQL servers or on different types of servers using distributed quer...
7__sc0004,7,21,1120,1456,336,SLIDE 20 --- Demo --- SLIDE 21 --- JOBS IN SQL SERVER A job is a specified series of operations performed sequentially Use jobs to define an administrative task that can be run one or more times and...
7__sc0005,7,26,1400,1456,56,"tasks that, as a bare minimum, should be applied to all databases, to ensure adequate performance and availability. --- SLIDE 26 --- CORE MAINTENANCE PLAN TASKS Backup Databases Verify the Integrity..."
