chunk_id,pdf_stem,page_no,start_word,end_word,n_words,text_snippet
2014 (1)__c0000,2014 (1),2,0,400,400,"--- PAGE 2 --- Question 1 (20 marks) Consider the following relations in a bank database: Branch (bName:char(15), city:varchar(12), phone:varchar(10)) Customer (custno:integer, cName:char(15), gender:..."
2014 (1)__c0001,2014 (1),3,320,720,400,"to decrease the holders attribute value when a row is deleted from the table AC only if it is for a joint account. If the updated value of holders is one for the joint account, then change the acctype..."
2014 (1)__c0002,2014 (1),4,640,1040,400,following times states the last time the particular frame was accessed (on the same day): Frame number 0 at 11:15 am Frame number 1 at 11:35 am Frame number 2 at 10:57 am Frame number 3 at 11:12 am Fr...
2014 (1)__c0003,2014 (1),6,960,1360,400,"<k,rid> format. Hash indexes require 1.2 Disk 1/Os on average to retrieve a data entry. Estimate the cost (in Disk 1/Os) of executing Query 1 with the following indexes. i. Unclustered hash index on C..."
2014 (1)__c0004,2014 (1),,1280,1378,98,how three transactions are running. Show a waits-for graph if a deadlock cycle develops. (4 marks) f) State the Simple Tree Locking Algorithm. (3 marks) g) Consider the tree shown below. [DIAGRAM: pag...
2015__c0000,2015,2,0,400,400,"--- PAGE 2 --- 00846 Question 1 (20 marks) Consider a database schema consisting of the following relations for recording information on the clients of a stock broking firm: Clients (cIno, name, phone..."
2015__c0001,2015,3,320,720,400,"parameters. When the transaction type is B, the procedure increase the total quantity and cost of the given stock for the client (or inserts a new row for client and stock if that client did not own t..."
2015__c0002,2015,4,640,1040,400,number 4 at 11:26 am Describe the steps involved when a page request for the page with PagelD 32 occurs if MRU (most-recently-used) policy is used as the replacement policy. (5 marks) Page 2 of 6 08/0...
2015__c0003,2015,6,960,1359,399,E100200762 Query 2: SELECT salary FROM Employee WHERE eid < E00001000 i. What is the best index (from the indexes given above) that you would select to evaluate query 1? Give reasons? Estimate the cos...
2015__c0004,2015,7,1280,1359,79,it? (2 marks) Page 5 of 6 08/04/2015 --- PAGE 7 --- 00846 f) Briefly explain Simple Tree Locking algorithm. (3 marks) g) Consider the following scenario: [DIAGRAM: page_007_diagram_1.png] Database D c...
2015 II__c0000,2015 II,2,0,400,400,"--- PAGE 2 --- 00269 Question 1 (20 marks) Consider the following schema of a database used in a vehicle rental system. Customers (custld: integer, name: varchar (50), address: varachar (60), phone: c..."
2015 II__c0001,2015 II,3,320,720,400,ids of vehicles with mileage over 80000km which have not been rented since 1% May 2015. (4 marks) iii. Find the ids and the names of customers who have paid the most amount of fines. (5 marks) b) Crea...
2015 II__c0002,2015 II,4,640,1040,400,"frames. [DIAGRAM: page_003_diagram_1.png] Each frame has a frame number (Frame No), page id (PageID) of page in buffer pool, pin count (PinCount) and a dirty bit (Dirty). Assume that the following tim..."
