question,bloom_level
Create a system for optimizing the design of heat exchangers in HVAC systems for improved energy efficiency and indoor comfort.,Create
Find the maximum flow in the given network.,Understand
What is File?,Remember
"Scenario: In a Hospital patient management system, the IT team is responsible for ensuring data integrity and disaster recovery measures are in place. 

Enhanced question: ""In the context of a Hospital patient management system, explain the significance of a `BCP command' in ensuring the continuity of operations and safeguarding patient data in the event of a system failure or natural disaster.",Understand
Write a difference between procedural and object oriented programming.,Understand
"Question:
Consider a scenario where a university maintains a database to manage student information. 

a) Define the concept of normalization in the context of relational databases. Provide examples to illustrate different normalization forms.
b) Explain the process of denormalization and discuss when denormalization might be preferred over normalization in a database design.
c) Compare and contrast the advantages and disadvantages of normalization and denormalization in the context of database management systems.",Remember
"Scenario: In a Hospital patient management system, the database is used to store patient information, medical records, and appointments. 

Enhanced question: ""In the context of a Hospital patient management system, consider the following code segment: Preparedstatement stmt=con.preparestatement(""delete from patients where patient_id=?""); stmt.setInt(1, 123); int i=stmt.executeUpdate(); System.out.println(i+"" patient records deleted""); Which type of statements is being used in this code segment and when would this type of statement be utilized in managing patient data within the hospital database?",Remember
"Define and explain the concept of Aggregation in the context of an Enhanced Entity-Relationship (EER) model. Provide a real-world scenario to illustrate this concept and give examples.

a) Define Aggregation in an EER model and explain its significance.
b) Describe a scenario from a university database where Aggregation could be applied.
c) Provide examples to demonstrate the difference between Aggregation and ternary relationships in a database context.",Remember
Create a new product. Give it a name and plan a marketing campaign.,Remember
"In the context of a hotel booking system, consider the following question:

a) Calculate the total amount spent by guests with the last name 'Smith' on their bookings.",Remember
Assess the value of feminist theories in gender studies.,Evaluate
Differentiate between electroosmosis and electrophoretic mobility of solutes in capillary electroosmosis. ,Analyze
"Consider the following scenario in a university database:

a) Define and explain the storage of information for the following types of individuals in a database system:
i) A person who is neither a student nor a faculty member (partial ISA relationship)
ii) A person who is a student but not a faculty member (disjoint ISA relationship)
iii) A person who is both a student and a faculty member (overlapping classes in ISA relationship)

Provide examples to illustrate each scenario.",Remember
Write in brief on types of Groundwater.,Understand
"An aerospace engineering company is assessing the aerodynamic performance of aircraft wing designs for fuel efficiency and flight stability. Evaluate the lift-to-drag ratios, wing aspect ratios, and airfoil shapes of different wing configurations. Propose aerodynamic optimization techniques and computational fluid dynamics (CFD) simulations to improve aircraft performance and reduce fuel consumption.",Evaluate
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,Apply
How do you build a functional humanoid robot for assistance in healthcare settings?,Understand
How to calculate simple and compound interest?,Apply
"Explain the importance of schema refinement in database management systems, with a focus on identifying data duplication and potential issues during insert, update, and delete operations.

Provide a real-world scenario from a university database where schema refinement is crucial for efficient data management. Identify instances where data redundancy exists and explain how it can lead to anomalies during data manipulation processes.",Remember
Outline the main steps of a problem-solving process in medicine.,Understand
Examine the use of pedagogical reasoning skills by teachers to enhance the usage of instructional materials in classroom. ,Apply
Can you break down the elements of a logical fallacy?,Understand
Model the behavior of a population in response to environmental changes.,Understand
Propose strategies for optimizing network performance in a cloud computing environment and evaluate their impact on scalability and reliability.,Evaluate
"Design the adjustable voltage regulator for the following specification output voltage = 5V â 10V I0 = 1.2 A, Iadj = 100ï­A, R1 = 240ïï®",Create
What does it feel like to experience a thunderstorm? Please describe.,Understand
"Question:
Discuss the process of data manipulation in a database management system, focusing on the operations of deleting and updating rows. Provide a real-world scenario from a university database where these operations would be applicable. Include examples to illustrate each operation.",Understand
Can you distinguish aged rums from unaged rums by smell,Understand
"Propose innovative solutions for optimizing energy efficiency in HVAC (heating, ventilation, and air conditioning) systems for buildings.",Create
Define PDF and CDF.,Remember
Sketch the blackbody curves for radiation emitted from the Sun and the Earth,Understand
Elaborate THREE (3) channels of the transmission process for monetary policy. ,Understand
Paraphrase the scientific principle.,Understand
Debate the ethical considerations of using AI algorithms for autonomous weapon systems.,Understand
How might old storytelling methods be combined to create a novel narrative structure?,Create
Which are the factor that affect on the output of the voltage regulator?,Understand
Describe what hydraulic engineering is in your own words showing concrete examples. ,Understand
Formulate an algorithm for automatically generating synthetic training data to augment limited datasets for training deep learning models.,Create
Describe the principles of market economy and supply-demand dynamics.,Understand
The armature resistance of a DC shunt motor is 5.,Understand
Explain in brief what is Lissajous pattern?,Remember
Differentiate PAL and PLA.,Analyze
What is congestion Control?,Remember
"Using the open economy multiplier approach, calculate the new equilibrium output level and new balance of trade if the government decreases spending to RM 1200 million and increases tax by RM 300 million. ",Apply
Translate your understanding of sociology to analyze this social phenomenon.,Analyze
Explain the factors affecting the concrete mix design.,Understand
Explain V oltage Controlled Oscillator 566 and write its applications.,Understand
Solve a hypothetical scenario involving a ransomware attack on a critical infrastructure system and propose strategies for recovery and prevention.,Apply
Can you group by characteristics such as . . .?,Understand
State TWO phenomena that affect the stabilization of colloidal nanoparticles in aqueous medium. ,Remember
Modify the parameters of the simulation to explore various scenarios.,Understand
"Question:
Consider the following scenario in an e-commerce database system:

You are tasked with creating a stored procedure to generate statistics on salary (minimum and maximum) for a specific department. The procedure should take the department ID as input and return the maximum and minimum salaries as output parameters.

a) Define a stored procedure named `get_stats` that takes the department ID (`@did`) as a parameter and outputs the maximum salary (`@maxm`) and minimum salary (`@minm`).

b) Explain the steps involved in creating the stored procedure `get_stats` as described in the scenario.

c) Provide an example of how the stored procedure `get_stats` can be called to retrieve salary statistics for a given department in the e-commerce database system.",Remember
Explain the concept of a chasm trap in the context of a relational database model. Provide a real-world scenario to illustrate this concept and discuss the factors that may lead to the occurrence of a chasm trap.,Understand
Explain why it is important for the width of the base quasineutral region to be small compared to the minority carrier diffusion length in the operation of a BJT.,Understand
What can you identify as the primary causes of climate change?,Remember
"Question:
Consider the scenario of managing information about individuals within a university database. Discuss the storage of information for the following types of individuals within the context of ISA mapping in a relational database model:

a) Describe how information would be stored for a person who is neither a student nor a faculty member, illustrating the partial ISA relationship with relevant attributes.
b) Explain the storage approach for a person who is solely a student but not a faculty member, demonstrating the disjoint ISA relationship with necessary attributes.
c) Outline the storage strategy for a person who is both a student and a faculty member, showcasing the overlapping classes in the ISA relationship with appropriate attributes.",Understand
